"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"120","F75BF5EC1F4E428A","docked_bike","2021-05-03 09:54:12","2021-05-03 10:00:43","E 56 St & 3 Ave",6691.11,"E 47 St & Park Ave",6584.12,40.759345,-73.967596,40.75510267,-73.97498696,"member"
"208","9EE5272F95ACBCA4","docked_bike","2021-05-03 11:07:33","2021-05-03 11:13:16","Bank St & Washington St",5964.01,"W Broadway & W Houston St",5644.05,40.736196,-74.008592,40.726378,-74.000472,"member"
"366","049FAC7E1BD01F43","docked_bike","2021-05-03 15:42:13","2021-05-03 15:49:06","India St & Manhattan Ave",5826.02,"Nassau Ave & Russell St",5581.01,40.732321,-73.955085,40.72557,-73.94434,"member"
"79","345FF650FBCE0364","docked_bike","2021-05-03 16:32:14","2021-05-03 16:34:23","21 St & 43 Ave",6395.01,"45 Rd & 11 St",6319.01,40.750525,-73.945948,40.74708586,-73.94977234,"member"
"484","FC12AF0818C020A9","docked_bike","2021-05-03 16:48:09","2021-05-03 17:03:16","W 43 St & 10 Ave",6756.01,"2 Ave & E 31 St",6197.02,40.760094,-73.994618,40.74290902,-73.97706058,"casual"
"316","1DD24A8FCB2F6454","docked_bike","2021-05-03 16:56:51","2021-05-03 17:02:52","Crescent St & 30 Ave",6958.06,"Astoria Park S & Shore Blvd",7159.08,40.768692,-73.924957,40.7767,-73.927631,"member"
"332","FEE1B69EF5F87B9D","docked_bike","2021-05-03 17:16:14","2021-05-03 17:18:19","South St & Whitehall St",4846.01,"Wall St & South St",4953.01,40.701221,-74.012342,40.70437,-74.00637,"member"
"394","113B3E997CE37E96","docked_bike","2021-05-03 18:11:06","2021-05-03 18:14:31","E 12 St & 3 Ave",5788.12,"W 11 St & 6 Ave",5914.03,40.732232,-73.988899,40.73532427,-73.99800419,"member"
"239","9DA360184C64EE51","docked_bike","2021-05-03 20:16:59","2021-05-03 20:29:26","West Drive & Prospect Park West",3651.04,"14 St & 5 Ave",3771.06,40.661063,-73.979453,40.666287,-73.988951,"member"
"278","932D69EE804F3869","docked_bike","2021-05-04 07:46:36","2021-05-04 07:53:31","E 68 St & 3 Ave",6896.16,"E 56 St & Madison Ave",6732.01,40.767128,-73.962246,40.761573,-73.972628,"member"
"149","BD6F6BB487FA7986","docked_bike","2021-05-04 08:29:06","2021-05-04 08:45:51","11 Ave & W 27 St",6425.04,"Madison Av & E 51 St",6659.09,40.751396,-74.005226,40.75863,-73.97513,"member"
"260","4E2E8E0AE4635273","docked_bike","2021-05-04 12:25:04","2021-05-04 12:31:50","Hudson St & W 13 St",6115.06,"LaGuardia Pl & W 3 St",5721.14,40.740057,-74.005274,40.72917025,-73.99810231,"member"
